22,-0.009705,0.990356,0.213087
37,-0.005555,0.990844,0.210401
53,-0.004944,0.975829,0.219435
69,-0.004822,0.959226,0.210889
84,-0.00409,0.987304,0.216383
100,-0.005066,0.998291,0.212965
115,-0.007386,0.982299,0.221144
131,-0.004334,0.980834,0.212354
147,-0.003723,0.978148,0.218702
162,-0.002747,0.975707,0.216627
178,-0.003357,0.983642,0.216261
193,-0.005677,0.987914,0.215284
209,-0.004334,0.985717,0.216261
225,-0.007264,0.981322,0.214918
240,-0.006409,0.979857,0.211744
256,-0.005921,0.979613,0.217848
272,-0.0047,0.982177,0.213819
287,-0.006409,0.985839,0.215772
303,-0.006653,0.985717,0.213453
319,-0.006775,0.983153,0.218458
334,-0.004334,0.978026,0.217115
349,-0.0047,0.983275,0.218336
365,-0.006043,0.981933,0.217726
381,-0.007264,0.980834,0.217481
397,-0.004944,0.985106,0.213819
412,-0.004212,0.979735,0.21565
428,-0.004212,0.982909,0.214674
443,-0.006653,0.982909,0.214185
459,-0.006775,0.984618,0.216261
475,-0.004456,0.981566,0.217604
490,-0.006287,0.982787,0.213575
506,-0.006775,0.983275,0.215528
522,-0.00531,0.98413,0.216627
537,-0.005432,0.985229,0.216505
553,-0.004944,0.983031,0.21565
568,-0.004578,0.983397,0.213941
584,-0.005432,0.984252,0.215772
599,-0.007508,0.980345,0.217115
615,-0.006409,0.98474,0.216627
631,-0.003723,0.979857,0.214796
647,-0.005555,0.982543,0.215406
662,-0.004944,0.984618,0.214674
678,-0.005555,0.980101,0.218092
693,-0.005677,0.984374,0.214308
709,-0.007019,0.98181,0.21443
725,-0.006531,0.982055,0.215284
740,-0.006409,0.984374,0.217359
756,-0.00409,0.981322,0.214918
772,-0.003845,0.983031,0.215284
787,-0.005432,0.982787,0.215895
803,-0.006165,0.981933,0.214552
818,-0.006531,0.981566,0.216383
834,-0.005432,0.982543,0.215406
850,-0.007264,0.983153,0.215162
865,-0.006409,0.982421,0.214185
881,-0.007019,0.983764,0.218702
896,-0.002991,0.98352,0.21504
912,-0.0047,0.983642,0.21443
928,-0.005677,0.98352,0.216139
943,-0.006531,0.981566,0.215284
959,-0.006043,0.984008,0.214674
975,-0.006409,0.982177,0.214308
990,-0.005188,0.983275,0.215528
1006,-0.004944,0.982787,0.213697
1021,-0.005432,0.982787,0.214796
1037,-0.005555,0.984374,0.21504
1053,-0.005921,0.982299,0.213819
1068,-0.003235,0.982055,0.214918
1084,-0.006897,0.982177,0.217237
1100,-0.006043,0.981322,0.216627
1115,-0.004334,0.982421,0.216383
1131,-0.004944,0.982055,0.21504
1146,-0.003845,0.982543,0.216139
1162,-0.006775,0.983031,0.213575
1177,-0.006043,0.981566,0.21504
1193,-0.0047,0.983642,0.216017
1209,-0.00531,0.985106,0.215528
1224,-0.005432,0.982055,0.213575
1240,-0.0047,0.982299,0.214552
1256,-0.006653,0.983275,0.215406
1271,-0.003479,0.984008,0.211744
1287,-0.005188,0.981933,0.217359
1303,-0.004334,0.983275,0.214552
1318,-0.007386,0.983153,0.212721
1334,-0.006897,0.983153,0.214552
1349,-0.004456,0.985106,0.214552
1365,-0.005432,0.983764,0.217237
1381,-0.006165,0.983031,0.216383
1396,-0.006653,0.982665,0.218458
1412,-0.006531,0.984374,0.216139
1428,-0.005432,0.981322,0.216017
1443,-0.005188,0.983764,0.216749
1459,-0.00531,0.98059,0.217237
1474,-0.005066,0.981566,0.215162
1490,-0.003723,0.983764,0.214674
1506,-0.005188,0.983031,0.21565
1521,-0.003723,0.981688,0.215528
1537,-0.004822,0.981688,0.214552
1553,-0.006775,0.982787,0.216505
1568,-0.005432,0.982787,0.215406
